district,N,P,K,OC,pH,EC,S,Fe,Zn,Cu,B,Mn,temperature,humidity,crop,Soil_Type,Yield_tons_per_hectare
Ariyalur,10,0,6,0,8.08,0,99,100,100,96,95,100,27,79,Maize,Loamy,1.03
Ariyalur,5,0,0,3,7.62,2,92,95,100,100,96,100,34,53,Maize,Clay,1.19
Ariyalur,0,0,3,0,6.9,0,100,92,98,100,100,92,26,46,Groundnut,Sandy,0.5
Ariyalur,0,0,0,4,7.94,0,100,100,90,89,94,98,27,77,Groundnut,Red Soil,0.5
Ariyalur,4,0,0,0,7.74,6,100,100,91,92,93,100,28,51,Groundnut,Black Soil,0.52
Ariyalur,1,4,9,0,8.14,6,100,91,91,100,100,100,35,61,Maize,Alluvial Soil,1.18
Ariyalur,0,0,0,0,8.17,0,90,91,95,96,95,100,35,61,Groundnut,Laterite Soil,0.52
Ariyalur,0,0,0,9,6.75,0,99,94,94,97,98,100,28,72,Millet,Peaty Soil,0.68
Ariyalur,0,6,4,3,6.72,0,94,100,100,100,98,92,26,78,Mango,Loamy,2.99
Ariyalur,1,0,6,0,7.24,0,96,100,98,92,100,100,30,56,Millet,Clay,0.67
Ariyalur,5,0,0,0,6.94,9,100,100,91,94,100,89,35,50,Coconut,Sandy,2.11
Ariyalur,7,4,0,0,6.59,9,100,91,89,100,100,100,27,45,Sugarcane,Red Soil,25.2
Ariyalur,0,9,0,0,7.88,0,89,97,100,90,96,95,34,72,Rice,Black Soil,1.63
Ariyalur,8,2,0,0,7.54,8,88,100,95,92,97,100,32,46,Millet,Alluvial Soil,0.58
Ariyalur,3,10,9,1,7.97,10,100,89,100,99,100,100,25,62,Millet,Laterite Soil,0.61
Ariyalur,0,0,0,9,7.58,4,100,91,92,100,93,100,33,47,Rice,Peaty Soil,1.68
Ariyalur,5,0,0,0,7.02,0,92,100,94,90,98,96,35,63,Millet,Loamy,0.68
Ariyalur,5,4,8,7,7.83,5,92,98,100,100,93,99,30,70,Rice,Clay,1.95
Ariyalur,0,4,0,3,7.99,0,94,100,92,98,100,89,28,54,Coconut,Sandy,2.06
Ariyalur,0,0,0,2,7.98,8,97,96,92,100,90,96,25,58,Groundnut,Red Soil,0.52
Ariyalur,0,0,8,0,7.64,5,93,92,93,93,96,93,28,80,Coconut,Black Soil,1.78
Ariyalur,3,0,7,0,7.22,0,100,98,100,100,99,89,28,45,Rice,Alluvial Soil,1.74
Ariyalur,9,0,6,4,7.3,1,100,91,90,97,93,100,24,45,Coconut,Laterite Soil,1.91
Ariyalur,4,1,3,0,8.34,0,100,89,91,100,100,100,34,66,Groundnut,Peaty Soil,0.5
Ariyalur,0,0,0,4,7.76,7,97,99,100,100,100,100,26,58,Coconut,Loamy,2.23
Ariyalur,0,3,7,5,6.72,0,90,100,91,98,100,100,30,54,Millet,Clay,0.71
Ariyalur,7,4,0,8,8.05,0,93,99,99,100,100,93,26,47,Sugarcane,Sandy,20.35
Ariyalur,0,0,0,2,8.29,0,100,97,100,92,98,100,26,68,Maize,Red Soil,1.11
Ariyalur,0,0,7,10,7.91,9,100,100,100,100,98,89,26,69,Guava,Black Soil,3.77
Ariyalur,8,1,0,0,8.41,9,96,100,97,91,100,89,24,52,Rice,Alluvial Soil,1.64
Ariyalur,4,5,0,0,7.71,0,100,100,95,100,100,100,28,71,Guava,Laterite Soil,4.32
Ariyalur,9,0,10,0,7.07,1,100,98,93,100,89,100,32,46,Guava,Peaty Soil,4.28
Ariyalur,4,0,0,0,7.17,0,95,89,93,100,98,93,25,54,Rice,Loamy,1.89
Ariyalur,0,0,0,0,6.93,0,100,100,95,95,100,97,28,45,Rice,Clay,1.98
Ariyalur,0,0,10,8,6.67,0,98,100,100,100,92,98,28,79,Groundnut,Sandy,0.5
Ariyalur,0,0,7,0,6.75,4,90,100,94,93,96,92,34,56,Mango,Red Soil,3.75
Ariyalur,2,2,8,10,7.38,6,100,93,100,96,100,100,29,67,Sugarcane,Black Soil,28.33
Ariyalur,6,5,10,7,7.27,9,100,95,99,99,100,100,34,71,Coconut,Alluvial Soil,1.94
Ariyalur,0,0,4,4,8.18,4,100,95,98,90,100,100,29,69,Rice,Laterite Soil,1.8
Ariyalur,0,2,0,0,7.68,0,100,100,94,100,93,100,30,47,Guava,Peaty Soil,3.8
Ariyalur,0,0,0,0,6.85,0,89,99,89,92,97,98,29,64,Guava,Loamy,4.86
Ariyalur,2,0,0,5,6.69,7,94,100,93,100,100,100,31,77,Sugarcane,Clay,22.3
Ariyalur,0,10,0,1,7.2,4,88,99,100,100,98,90,24,75,Sugarcane,Sandy,24.19
Ariyalur,0,1,0,0,7.13,0,100,95,100,100,98,100,28,45,Millet,Red Soil,0.6
Ariyalur,0,0,0,8,6.62,10,100,91,92,100,100,99,34,50,Coconut,Black Soil,2.02
Ariyalur,3,0,0,5,7.19,7,92,89,99,100,100,94,33,47,Guava,Alluvial Soil,4.11
Ariyalur,0,6,0,10,6.71,0,93,100,100,100,100,93,28,71,Sugarcane,Laterite Soil,23.3
Ariyalur,6,9,8,6,8.29,7,100,100,94,90,92,100,34,63,Millet,Peaty Soil,0.6
